Lambda(nm),X(V),Y(V),R(V),Fase(deg)
400,0.00012589816984550926,1.2949084922754629e-05,0.00012656234815609817,5.8724296312739535
405,3.4645142236085585e-05,-3.267742888195721e-05,4.7624575996999415e-05,-43.32582771887344
410,0.00010291171728310049,1.4558586415502393e-06,0.00010292201454762232,0.8104907201774201
415,3.315695854885209e-05,-3.342152072557406e-05,4.7078465860946145e-05,-45.22767441561767
420,0.00011604722839146473,8.023614195726026e-06,0.00011632427778457355,3.955189385977489
425,0.00016495858896660567,3.247929448299773e-05,0.00016812566920005657,11.138693955824213
430,6.435493468970714e-05,-1.7822532666595107e-05,6.677724380032708e-05,-15.479602436532884
435,0.00017069657293692552,3.534828613388345e-05,0.00017431816125984702,11.69958971758771
440,5.06522117831875e-05,-2.4673901723396126e-05,5.634223979204846e-05,-25.971818796973004
445,9.003633951195975e-05,-4.981965222945294e-06,9.017406728209348e-05,-3.1671078386604576
450,0.00015369011821483888,2.6843195780833396e-05,0.0001560166965315549,9.907226854423227
455,0.00014027887933152768,2.0119407017067356e-05,0.0001417143412828346,8.161948397970248
460,8.562736969803438e-05,-7.354046464934073e-06,8.594258805046695e-05,-4.908762208503927
465,0.00012888642765756863,1.3349468269692869e-05,0.00012957592190454678,5.913349761413588
470,0.0001124342822739694,6.626428678635449e-07,0.00011243623493355227,0.3376745891887896
475,0.0001691236597265698,1.2593363051581172e-05,0.00016959187796665705,4.258525370165254
480,0.00019495389879654724,-2.0190692220032733e-05,0.00019599664973743422,-5.9128428397052355
485,0.0004467834249666925,1.1065478804171368e-05,0.00044692043323855057,1.418753723488038
490,0.0006408452992553069,-3.2842680228663336e-05,0.0006416863246339492,-2.933784665605197
495,0.0009638473032034717,-9.324799690561955e-06,0.0009638924088205457,-0.5542942304957348
500,0.0010632064270359545,-1.8396786482022803e-05,0.0010633655760101629,-0.9912967226710991
505,0.0010026923058620721,1.0097701638738324e-05,0.0010027431494721787,0.5769827155116594
510,0.0007901225260194438,4.179593315340517e-05,0.0007912272152495202,3.0280122224133077
515,0.00040943090187720705,-7.610782740571362e-06,0.0004095016329954098,-1.0649306446881392
520,0.00020402996501120614,-1.565265911270329e-05,0.00020462950021874287,-4.386993051582452
525,7.916467002480742e-05,-3.23861317993e-05,8.553307262724913e-05,-22.24938633531051
530,0.00015412381076012157,2.1507407110939638e-05,0.00015561721499839746,7.944113267934889
535,8.638278861231881e-05,-7.902351252932037e-06,8.674349153547643e-05,-5.226905151162472
540,0.00012150517543943281,1.0584856405765144e-05,0.00012196535099649415,4.978721262929743
545,0.00011434974338266124,7.154839042634141e-06,0.00011457336310594396,3.5803172777611065
550,0.00015222556804926892,2.6110920698048413e-05,0.0001544487091160764,9.733102956349228
555,0.00013124696012780697,1.562334508497832e-05,0.00013217357320748527,6.788417992380007
560,0.00012178385023159355,1.0891917500806898e-05,0.0001222699474281215,5.110734411774018
565,0.00015225578403852783,2.6127891684684602e-05,0.00015448135970748522,9.737412128234135
570,0.00023557542033819,6.778771015764632e-05,0.0002451345596115162,16.053371126872065
575,0.00011680509681044722,8.402548404918511e-06,0.00011710693173589234,4.11456946552411
580,7.331968391788703e-05,-1.3340158041062822e-05,7.452339140417184e-05,-10.311886106859793
585,0.00011248802678978388,6.244013394891835e-06,0.00011266119063073461,3.177127983823922
590,0.00010764675728349677,3.8233786417480915e-06,0.00010771463492901157,2.034166355746014
595,2.066943431630078e-05,-3.9665282841940706e-05,4.4727622090683824e-05,-62.47614430850603
600,0.00011911511203903925,9.557556002159688e-06,0.00011949793635376007,4.587469554102534
605,9.068362182424066e-05,-4.658191094414743e-06,9.080318282656165e-05,-2.940556529144729
610,0.00017849995203324102,3.924983534765212e-05,0.00018276428111282342,12.401247873244651
615,7.422458174203143e-05,-1.2893690525724444e-05,7.533615194680878e-05,-9.854618285252094
620,7.554849584262632e-05,-1.2380014333795195e-05,7.655612306659933e-05,-9.306258479679306
625,1.2677038637719395e-05,-4.607454835142494e-05,4.7786727387529115e-05,-74.61619053585616
630,0.00012589477350678828,-9.947161857523583e-06,0.00012628713325333382,-4.51765234234109
635,0.0003664037495738041,1.4528440845716237e-06,0.00036640662993138787,0.2271848969457346
640,0.0009653353007327955,-2.7181651097905198e-05,0.0009657179117098767,-1.6128929350569186
645,0.0021183167166578146,3.565737948965113e-05,0.002118616803667906,0.9643621323167416
650,0.0025065043764089597,-4.674781179552e-05,0.0025069402758871096,-1.0684768179021749
655,0.002034637636092761,-6.182160792875644e-06,0.0020346470281887245,-0.17409027797942786
660,0.0009762274679622447,-2.1735567483180636e-05,0.0009764694076609832,-1.2754717520620722
665,0.0005013456730494228,6.892380582238095e-05,0.0005060612363088285,7.827817559452046
670,0.00010498810273017523,-2.0400497245830107e-05,0.00010695177419173068,-10.996254404211827
675,1.6381650890467234e-05,-4.422224222505102e-05,4.715893545562953e-05,-69.67339661277332
680,6.211583006871004e-05,-1.9096347220753328e-05,6.4984973819341e-05,-17.089064032292217
685,4.734137766321442e-05,-2.6335292565132952e-05,5.4173366828564796e-05,-29.08652592485087
690,7.879451811744229e-05,-1.0602881610247258e-05,7.950469913030839e-05,-7.663895434045648
695,0.00015870935047303215,2.9354673229981e-05,0.00016140122294459454,10.478929451434155
700,0.00010225685946612313,1.1284297157016331e-06,0.00010226308552697662,0.6322474233588261
705,2.1248557189474326e-05,-3.937572140535393e-05,4.4743140466739804e-05,-61.647102874632246
710,0.0001092684494763128,4.634224738156111e-06,0.00010936667723708745,2.4285371639031195
715,1.706908077011424e-05,-4.146545961494288e-05,4.4841251760127556e-05,-67.6256921443123
720,6.967249964555906e-06,-4.651637501772205e-05,4.703526035707637e-05,-81.48152958016789
725,0.00016748346659603442,3.3741733298017205e-05,0.00017084851813515826,11.390513322481535
730,0.0001597174927829558,2.9858746391477898e-05,0.00016248452922338217,10.589057684038178
735,3.4126071593700496e-05,-3.2936964203149754e-05,4.742818121473709e-05,-43.98418412760818
740,6.887310344129828e-05,-1.5563448279350858e-05,7.060966860126028e-05,-12.733424221663174
745,0.00019167941028517036,4.583970514258517e-05,0.0001970844359527911,13.449555015900296
750,8.658255992645459e-05,-6.7087200367727084e-06,8.684207855613483e-05,-4.4306251467178255
755,4.23778517798652e-05,-2.8811074110067403e-05,5.124412466665832e-05,-34.21027936594482
760,7.4265377685114094e-06,-4.62867311157443e-05,4.687872588507859e-05,-80.88478834378485
765,0.00014903128816685904,2.4515644083429516e-05,0.0001510342400169537,9.34149318105215
770,-7.018037070666462e-06,-5.3509018535333233e-05,5.396728554355763e-05,-97.47204431620945
775,6.101975283546104e-06,-4.694901235822695e-05,4.734388940268801e-05,-82.59476360702149
780,9.82668197281318e-05,-8.665901359340986e-07,9.8270640773045e-05,-0.5052638358011972
785,6.96620139757511e-05,-1.5168993012124458e-05,7.129442152202108e-05,-12.284466843043646
790,0.00010729688279660127,3.6484413983006333e-06,0.00010735889428689372,1.9474916585400512
795,0.00010010366841575439,5.183420787719162e-08,0.0001001036818357667,0.02966805440138104
800,7.659688257164796e-05,-1.170155871417602e-05,7.748553991575549e-05,-8.685811633886841
